module	ordinal_or_name	known_6.64_symbol	sites
DOSCALLS	2	DOSCWAIT	1
DOSCALLS	5	DOSEXIT	2
DOSCALLS	8	DOSGETINFOSEG	1
DOSCALLS	10	DOSKILLPROCESS	1
DOSCALLS	13	DOSHOLDSIGNAL	9
DOSCALLS	14	DOSSETSIGHANDLER	1
DOSCALLS	16	DOSMAKEPIPE	1
DOSCALLS	28	DOSSETDATETIME	1
DOSCALLS	33	DOSGETDATETIME	4
DOSCALLS	34	DOSALLOCSEG	6
DOSCALLS	36	DOSGETSHRSEG	1
DOSCALLS	38	DOSREALLOCSEG	3
DOSCALLS	39	DOSFREESEG	12
DOSCALLS	44	DOSLOADMODULE	5
DOSCALLS	45	DOSGETPROCADDR	15
DOSCALLS	47	DOSGETMODHANDLE	2
DOSCALLS	49	DOSGETMACHINEMODE	1
DOSCALLS	50	DOSBEEP	2
DOSCALLS	53	DOSDEVIOCTL	2
DOSCALLS	56	DOSBUFRESET	2
DOSCALLS	57	DOSCHDIR	2
DOSCALLS	58	DOSCHGFILEPTR	18
DOSCALLS	59	DOSCLOSE	3
DOSCALLS	60	DOSDELETE	2
DOSCALLS	61	DOSDUPHANDLE	2
DOSCALLS	63	DOSFINDCLOSE	1
DOSCALLS	64	?	1
DOSCALLS	65	DOSFINDNEXT	3
DOSCALLS	66	DOSMKDIR	2
DOSCALLS	67	DOSMOVE	2
DOSCALLS	70	DOSOPEN	3
DOSCALLS	71	DOSQCURDIR	2
DOSCALLS	72	DOSQCURDISK	2
DOSCALLS	73	DOSQFHANDSTATE	1
DOSCALLS	74	DOSQFILEINFO	1
DOSCALLS	75	DOSQFILEMODE	8
DOSCALLS	76	DOSQFSINFO	2
DOSCALLS	77	DOSQHANDTYPE	3
DOSCALLS	78	DOSQVERIFY	1
DOSCALLS	80	DOSRMDIR	1
DOSCALLS	81	DOSSELECTDISK	1
DOSCALLS	82	DOSSETFHANDSTATE	1
DOSCALLS	83	DOSSETFILEINFO	2
DOSCALLS	86	DOSSETVERIFY	1
DOSCALLS	89	DOSSETVEC	1
DOSCALLS	91	DOSGETENV	1
DOSCALLS	92	DOSGETVERSION	1
DOSCALLS	95	DOSOPEN2	2
DOSCALLS	98	DOSQPATHINFO	1
DOSCALLS	99	DOSDEVIOCTL2	1
DOSCALLS	120	DOSERROR	4
DOSCALLS	126	DOSSIZESEG	1
DOSCALLS	130	DOSGETCP	3
DOSCALLS	136	?	2
DOSCALLS	137	DOSREAD	16
DOSCALLS	138	DOSWRITE	8
DOSCALLS	144	DOSEXECPGM	1
DOSCALLS	151	DOSSEARCHPATH	2
DOSCALLS	153	DOSSETCP	1
DOSCALLS	163	DOSQAPPTYPE	2
DOSCALLS	164	DOSSETPROCCP	4
DOSCALLS	182	DOSQFSATTACH	1
DOSCALLS	184	DOSFINDFIRST2	2
DOSCALLS	191	DOSEDITNAME	1
DOSCALLS	203	?	1
KBDCALLS	4	KBDCHARIN	4
KBDCALLS	5	KBDSETCP	1
KBDCALLS	9	KBDSTRINGIN	1
KBDCALLS	10	KBDGETSTATUS	2
KBDCALLS	11	KBDSETSTATUS	3
KBDCALLS	13	KBDFLUSHBUFFER	2
MSG	1	DOSPUTMESSAGE	1
MSG	2	DOSTRUEGETMESSAGE	1
NLS	1	DOSCASEMAP	5
NLS	2	?	1
NLS	3	DOSGETCTRYINFO	2
NLS	4	DOSGETDBCSEV	2
QUECALLS	1	DOSREADQUEUE	1
QUECALLS	8	DOSCREATEQUEUE	1
SESMGR	8	DOSSTOPSESSION	1
SESMGR	14	DOSSETSESSION	1
SESMGR	17	DOSSTARTSESSION	2
VIOCALLS	3	VIOGETANSI	1
VIOCALLS	7	VIOSCROLLUP	2
VIOCALLS	9	VIOGETCURPOS	7
VIOCALLS	15	VIOSETCURPOS	6
VIOCALLS	19	VIOWRTTTY	9
VIOCALLS	21	VIOGETMODE	12
VIOCALLS	22	VIOSETMODE	1
VIOCALLS	27	VIOGETCURTYPE	2
VIOCALLS	32	VIOSETCURTYPE	2
VIOCALLS	40	VIOGETCP	2
VIOCALLS	42	VIOSETCP	1
VIOCALLS	46	VIOGETCONFIG	1
VIOCALLS	48	VIOWRTCHARSTRATT	1
SESMGR	DOSSMPMPRESENT	DOSSMPMPRESENT	1
SESMGR	DOSSMSETTITLE	DOSSMSETTITLE	6
