string	os2_offsets	nt_offsets
The external process was cancelled by a Ctrl+Break or another process.	0x15ECC	0x17FBC
internal or external command, operable program or batch file.	0x152EB	0x17660
with the version of the operating system being used.	0x1538D	0x17703
limits of a stack segment.  The program was ended.	0x15FFA	0x180AA
Insert the diskette that contains the batch file	0x155A2	0x1793C
The system cannot accept the date entered.	0x15256	0x175C8
The system cannot accept the time entered.	0x15331	0x176A4
command processor in the path specified.	0x151E4	0x17554
The process has stopped.  The software	0x15E77	0x17F16
diagnostic code (trap number) is %1.	0x15E9F	0x17F3E
- not enough space for environment	0x185A	0x1B62F
 Volume in drive %1 has no label.	0x15A13	0x17D4C
A non-recoverable error occurred.	0x15E39	0x17EA2
- not enough space for arguments	0x182E	0x1B605
during redirection of handle %1.	0x1565E	0x17A0C
entered for the command.	0x15140	0x174A4
or file name requested.	0x15236	0x175A7
%2d%c%02d%c%02d%c%02d	0x11AE	0x1A48C
- integer divide by 0	0x180D	0x1B5E6
CMD Internal Error %s	0x12FD	0x1A63D
SunMonTueWedThuFriSat	0x13DC	0x1A754
The process ended.	0x15E5C	0x17EC5
a pipe operation.	0x15875	0x17C1F
%02d%c%02d%c%02d	0x11E0	0x1A4C4
- stack overflow	0x17F1	0x1B5A7
Null environment	0xF69,0xF7A,0xF8F	0x1AB35,0x1AB46
%2d%c%02d%c%02d	0x119E,0x11C4	0x1A47C,0x1A4A4
:\AUTOEXEC.BAT	0x137C	0x1A6D9
%2d%c%02d%c	0x1192	0x1A470
%s (%s) %s 	0x11FE	0x1A4E8
%s%s  %03d	0x1232	0x1A528
ERRORLEVEL	0x12CF	0x1A604
were lost.	0x1558F	0x17929
%-9s%-4s	0x1189	0x1A464
%s %s%s 	0x11F5	0x1A4DC
ENDLOCAL	0x12C0	0x1A5F0
SETLOCAL	0x134D	0x1A69C
\CMD.EXE	0x1395	0x1A6F8
\DEV\NUL	0x13BD	0x1A728
%5d: %s	0x1243	0x1A53C
COMSPEC	0x139E	0x1A704,0x1B300
%8ld  	0x11D4	0x1A4B4
%s %s 	0x120D	0x1A4F8
(null)	0x17A3	0x1B8C0
DETACH	0x12A1,0x12A8	0x1A5C8,0x1A5D0
DIRCMD	0xD63,0xD6A	0x1B500
PROMPT	0x1291,0x13D0	0x1A59C,0x1A744
RENAME	0x1338	0x1A684
VERIFY	0x136C	0x1A6C8
ppxxxx	0x178B	0x1B90D
%s=%s	0x1214	0x1A500
000WP	0x1773	0x1B8F5
CHDIR	0x127D	0x1A580
DPATH	0x126A	0x1A564
ERASE	0x12C9	0x1A5FC
EXIST	0x12DF	0x1A618
LPT%d	0x123D	0x1A534
MKDIR	0x1319	0x1A65C
PAUSE	0x1326	0x1980A,0x1A66C
RMDIR	0x1343	0x1A690
SHIFT	0x1356	0x199DF,0x1A6A8
START	0x135C	0x1A6B0
