command	os2_664_handler	nt_symbol	nt_module	m22_status
DIR	2:396A	_eDirectory	cinfo.c	implemented
TYPE	2:3981	_eType	cinfo.c	implemented
VER	3:002E	_eVersion	cinfo.c	implemented
CD	2:3DCF	_eChdir	cpath.c	implemented
CHDIR	2:3DCF	_eChdir	cpath.c	implemented
MD	2:3D1C	_eMkdir	cpath.c	implemented
MKDIR	2:3D1C	_eMkdir	cpath.c	implemented
RD	2:3ECD	_eRmdir	cpath.c	implemented
RMDIR	2:3ECD	_eRmdir	cpath.c	implemented
SET	3:11B7	_eSet	cenv.c	implemented
ECHO	2:0703	_eEcho	cbatch.c	implemented
PAUSE	2:105E	_ePause	cbatch.c	implemented
REM	NO-OP	_ParseRem	cparse.c	implemented
CLS	3:1B2C	_eCls	cother.c	implemented
EXIT	3:1BA4	_eExit	cother.c	implemented
COPY	2:28D0	_eCopy	cfile.c	reserved
DEL/ERASE	2:28E7	_eDelete	cfile.c	reserved
REN/RENAME	2:2F01	_eRename	cfile.c	reserved
MOVE	2:3334	_eMove	cfile.c	reserved
FOR	2:07B5	_eFor	cbatch.c	reserved
IF	2:0F39	_eIf	cbatch.c	reserved
GOTO	2:0D26	_eGoto	cbatch.c	reserved
CALL	2:12C4	_eCall	cbatch.c	reserved
SHIFT	2:1147	_eShift	cbatch.c	reserved
SETLOCAL	2:11AF	_eSetlocal	cbatch.c	reserved
ENDLOCAL	2:1224	_eEndlocal	cbatch.c	reserved
