rva	symbol	module
0x0001680C	_InitLex	clex.c
0x00016838	_Lex	clex.c
0x00016A60	_TextCheck	clex.c
0x00016BE0	_GetByte	clex.c
0x00016C88	_UnGetByte	clex.c
0x00016C9C	_FillBuf	clex.c
0x000170C8	_LexCopy	clex.c
0x00017154	_PrintPrompt	clex.c
0x0001734C	_IsData	clex.c
0x00017358	_SubVar	clex.c
0x00017634	_MSEnvVar	clex.c
0x00019C3C	_Parser	cparse.c
0x00019CD0	_ParseStatement	cparse.c
0x00019D0C	_ParseFor	cparse.c
0x00019E18	_ParseIf	cparse.c
0x00019EE4	_ParseDetach	cparse.c
0x00019F50	_ParseRem	cparse.c
0x00019FDC	_ParseS0	cparse.c
0x0001A010	_ParseS1	cparse.c
0x0001A02C	_ParseS2	cparse.c
0x0001A048	_ParseS3	cparse.c
0x0001A064	_ParseS4	cparse.c
0x0001A1F8	_ParseS5	cparse.c
0x0001A34C	_ParseCond	cparse.c
0x0001A440	_ParseArgEqArg	cparse.c
0x0001A5DC	_ParseCmd	cparse.c
0x0001A718	_ParseRedir	cparse.c
0x0001A8EC	_BinaryOperator	cparse.c
0x0001A9F0	_BuildArgList	cparse.c
0x0001AAD4	_GetCheckStr	cparse.c
0x0001AAFC	_GeTexTok	cparse.c
0x0001AB68	_GeToken	cparse.c
0x0001ABCC	_LoadNodeTC	cparse.c
0x0001AC2C	_PError	cparse.c
0x0001AC48	_PSError	cparse.c
0x0001ACD4	_SpaceCat	cparse.c
