rva	name	storage_class	source_file
0x00010000	_main	2	C:\nt\private\windows\cmd\cmd.c
0x00010184	_Dispatch	2	C:\nt\private\windows\cmd\cmd.c
0x00010308	_SetRedir	2	C:\nt\private\windows\cmd\cmd.c
0x0001067C	_AddRedir	2	C:\nt\private\windows\cmd\cmd.c
0x0001087C	_ResetRedir	2	C:\nt\private\windows\cmd\cmd.c
0x000108D8	_FindFixAndRun	2	C:\nt\private\windows\cmd\cmd.c
0x00010B30	_FindAndFix	2	C:\nt\private\windows\cmd\cmd.c
0x00010DB0	_UnParse	2	C:\nt\private\windows\cmd\cmd.c
0x00010E4C	_UnBuild	2	C:\nt\private\windows\cmd\cmd.c
0x00011140	_UnDuRd	2	C:\nt\private\windows\cmd\cmd.c
0x000111B8	_SPutC	2	C:\nt\private\windows\cmd\cmd.c
0x000112B0	_Abort	2	C:\nt\private\windows\cmd\csig.c
0x000112D0	_ExitAbort	2	C:\nt\private\windows\cmd\csig.c
0x000112F0	_SigCleanUp	2	C:\nt\private\windows\cmd\csig.c
0x00011410	_eDetach	2	C:\nt\private\windows\cmd\cop.c
0x00011428	_eComSep	2	C:\nt\private\windows\cmd\cop.c
0x0001144C	_eOr	2	C:\nt\private\windows\cmd\cop.c
0x00011474	_eAnd	2	C:\nt\private\windows\cmd\cop.c
0x000114A0	_ePipe	2	C:\nt\private\windows\cmd\cop.c
0x00011758	_PipeErr	2	C:\nt\private\windows\cmd\cop.c
0x00011770	_PipeWait	2	C:\nt\private\windows\cmd\cop.c
0x000117F4	_BreakPipes	2	C:\nt\private\windows\cmd\cop.c
0x00011934	_eParen	2	C:\nt\private\windows\cmd\cop.c
0x00011950	_OnOffCheck	2	C:\nt\private\windows\cmd\ctools2.c
0x00011A14	_ChangeDrive	2	C:\nt\private\windows\cmd\ctools2.c
0x00011AC8	_HandleFix	2	C:\nt\private\windows\cmd\ctools2.c
0x00011AD0	_PutStdOut	2	C:\nt\private\windows\cmd\ctools2.c
0x00011AE8	_PutStdErr	2	C:\nt\private\windows\cmd\ctools2.c
0x00011B00	_PutMsg	2	C:\nt\private\windows\cmd\ctools2.c
0x00011BD4	_argstr1	2	C:\nt\private\windows\cmd\ctools2.c
0x00011BF0	_argstr2	2	C:\nt\private\windows\cmd\ctools2.c
0x00011C0C	_Copen_Work	2	C:\nt\private\windows\cmd\ctools2.c
0x00011D28	_Copen	2	C:\nt\private\windows\cmd\ctools2.c
0x00011D3C	_Copen_Copy	2	C:\nt\private\windows\cmd\ctools2.c
0x00011D50	_InSetList	2	C:\nt\private\windows\cmd\ctools2.c
0x00011D90	_Cdup	2	C:\nt\private\windows\cmd\ctools2.c
0x00011DC4	_Cdup2	2	C:\nt\private\windows\cmd\ctools2.c
0x00011E30	_Cclose	2	C:\nt\private\windows\cmd\ctools2.c
0x00011E88	_SetList	2	C:\nt\private\windows\cmd\ctools2.c
