source_file	text_rva	text_size	text_end
C:\nt\private\windows\cmd\cmd.c	0x00010000	0x12A4	0x000112A4
C:\nt\private\windows\cmd\csig.c	0x000112B0	0x158	0x00011408
C:\nt\private\windows\cmd\cdata.c	0x00011410	0x0	0x00011410
C:\nt\private\windows\cmd\cop.c	0x00011410	0x538	0x00011948
C:\nt\private\windows\cmd\ctools2.c	0x00011950	0xB88	0x000124D8
C:\nt\private\windows\cmd\cinit.c	0x000124E6	0x524	0x00012A0A
C:\nt\private\windows\cmd\ctools3.c	0x00012A16	0x7B8	0x000131CE
C:\nt\private\windows\cmd\cenv.c	0x000131D6	0x53C	0x00013712
C:\nt\private\windows\cmd\cbatch.c	0x00013716	0x1CE8	0x000153FE
C:\nt\private\windows\cmd\cmem.c	0x00015406	0x264	0x0001566A
C:\nt\private\windows\cmd\string.c	0x00015676	0x2D0	0x00015946
C:\nt\private\windows\cmd\cext.c	0x0001594C	0xEB8	0x00016804
C:\nt\private\windows\cmd\clex.c	0x0001680C	0xEAC	0x000176B8
C:\nt\private\windows\cmd\ckeys.c	0x000176BC	0x130	0x000177EC
C:\nt\private\windows\cmd\ffirst.c	0x000177EC	0x288	0x00017A74
C:\nt\private\windows\cmd\cpwork.c	0x00017AF4	0x18F4	0x000193E8
C:\nt\private\windows\cmd\cclock.c	0x000193F4	0x6E0	0x00019AD4
C:\nt\private\windows\cmd\cother.c	0x00019ADA	0x144	0x00019C1E
C:\nt\private\windows\cmd\cparse.c	0x00019C3C	0x1148	0x0001AD84
C:\nt\private\windows\cmd\ctools1.c	0x0001AD92	0xB0C	0x0001B89E
i386\chkstk.asm	0x0001B908	0x2D	0x0001B935
D:\nt\private\crt32st\lowio\close.c	0x0001B938	0x7C	0x0001B9B4
D:\nt\private\crt32st\misc\ctype.c	0x0001B9B8	0x0	0x0001B9B8
D:\nt\private\crt32st\startup\crt0dat.c	0x0001B9B8	0x1B4	0x0001BB6C
D:\nt\private\crt32st\dos\dosmap.c	0x0001BB84	0x80	0x0001BC04
D:\nt\private\crt32st\lowio\dup.c	0x0001BC04	0xBC	0x0001BCC0
D:\nt\private\crt32st\lowio\osfinfo.c	0x0001BCCA	0x21C	0x0001BEE6
D:\nt\private\crt32st\lowio\dup2.c	0x0001BEF0	0xD4	0x0001BFC4
D:\nt\private\crt32st\lowio\eof.c	0x0001BFD0	0x88	0x0001C058
D:\nt\private\crt32st\lowio\getch.c	0x0001C060	0xB4	0x0001C114
D:\nt\private\crt32st\lowio\initcon.c	0x0001C120	0x74	0x0001C194
D:\nt\private\crt32st\stdio\_file.c	0x0001C1A6	0x0	0x0001C1A6
D:\nt\private\crt32st\lowio\lseek.c	0x0001C1A6	0x7C	0x0001C222
D:\nt\private\crt32st\heap\msize.c	0x0001C22C	0x1C	0x0001C248
D:\nt\private\crt32st\lowio\pipe.c	0x0001C24C	0x11C	0x0001C368
D:\nt\private\crt32st\lowio\txtmode.c	0x0001C372	0x0	0x0001C372
D:\nt\private\crt32st\lowio\putch.c	0x0001C372	0x44	0x0001C3B6
D:\nt\private\crt32st\lowio\read.c	0x0001C3C2	0x238	0x0001C5FA
D:\nt\private\crt32st\lowio\setmode.c	0x0001C602	0x84	0x0001C686
D:\nt\private\crt32st\lowio\open.c	0x0001C692	0x308	0x0001C99A
D:\nt\private\crt32st\dos\access.c	0x0001C9A8	0x58	0x0001CA00
D:\nt\private\crt32st\lowio\chsize.c	0x0001CA08	0x14C	0x0001CB54
D:\nt\private\crt32st\exec\spawnl.c	0x0001CB58	0x18	0x0001CB70
D:\nt\private\crt32st\exec\spawnve.c	0x0001CB78	0x344	0x0001CEBC
D:\nt\private\crt32st\exec\cenvarg.c	0x0001CEC8	0x33C	0x0001D204
D:\nt\private\crt32st\exec\dospawn.c	0x0001D208	0x1B4	0x0001D3BC
D:\nt\private\crt32st\misc\searchen.c	0x0001D3CE	0x13C	0x0001D50A
D:\nt\private\crt32st\dos\getcwd.c	0x0001D50E	0x178	0x0001D686
D:\nt\private\crt32st\dos\stat.c	0x0001D68E	0x34C	0x0001D9DA
D:\nt\private\crt32st\time\dtoxtime.c	0x0001D9E4	0xC4	0x0001DAA8
D:\nt\private\crt32st\time\tzset.c	0x0001DAB4	0x188	0x0001DC3C
D:\nt\private\crt32st\time\timeset.c	0x0001DC44	0x0	0x0001DC44
D:\nt\private\crt32st\time\days.c	0x0001DC44	0x0	0x0001DC44
D:\nt\private\crt32st\dos\fullpath.c	0x0001DC44	0x2C0	0x0001DF04
D:\nt\private\crt32st\dos\drive.c	0x0001DF04	0x144	0x0001E048
D:\nt\private\crt32st\misc\getpath.c	0x0001E054	0x94	0x0001E0E8
D:\nt\private\crt32st\string\stricmp.c	0x0001E0F4	0x6C	0x0001E160
D:\nt\private\crt32st\string\strupr.c	0x0001E164	0x24	0x0001E188
D:\nt\private\crt32st\lowio\tell.c	0x0001E194	0x14	0x0001E1A8
D:\nt\private\crt32st\convert\xtoa.c	0x0001E1B4	0xE0	0x0001E294
D:\nt\private\crt32st\dos\unlink.c	0x0001E294	0x4C	0x0001E2E0
D:\nt\private\crt32st\lowio\write.c	0x0001E2EA	0x1FC	0x0001E4E6
D:\nt\private\crt32st\convert\atox.c	0x0001E4EA	0x88	0x0001E572
D:\nt\private\crt32st\heap\calloc.c	0x0001E57A	0x44	0x0001E5BE
C:\nt\private\windows\cmd\cfile.c	0x0001E5CA	0x1804	0x0001FDCE
C:\nt\private\windows\cmd\cchcp.c	0x0001FDDA	0x14	0x0001FDEE
C:\nt\private\windows\cmd\start.c	0x0001FE00	0x6E0	0x000204E0
C:\nt\private\windows\cmd\cpath.c	0x000204E0	0x4B0	0x00020990
C:\nt\private\windows\cmd\cinfo.c	0x0002099C	0x4A0	0x00020E3C
C:\nt\private\windows\cmd\dir.c	0x00020E3C	0x19CC	0x00022808
C:\nt\private\windows\cmd\display.c	0x00022812	0xA58	0x0002326A
C:\nt\private\windows\cmd\console.c	0x00023272	0x48C	0x000236FE
